trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
9080545,3/31/2016 23:30,3/31/2016 23:46,2295,926,156,Clark St & Wellington Ave,166,Ashland Ave & Wrightwood Ave,Subscriber,Male,1990
9080521,3/31/2016 22:59,3/31/2016 23:02,3439,198,259,California Ave & Francis Pl,276,California Ave & North Ave,Subscriber,Male,1974
9080479,3/31/2016 22:24,3/31/2016 22:26,4337,124,344,Ravenswood Ave & Lawrence Ave,242,Damen Ave & Leland Ave,Subscriber,Female,1992
9080475,3/31/2016 22:22,3/31/2016 22:41,3760,1181,318,Southport Ave & Irving Park Rd,458,Broadway & Thorndale Ave,Subscriber,Female,1979
9080443,3/31/2016 22:08,3/31/2016 22:19,1270,656,345,Lake Park Ave & 56th St,426,Ellis Ave & 60th St,Subscriber,Female,1997
9080381,3/31/2016 21:44,3/31/2016 22:03,1381,1140,210,Ashland Ave & Division St,503,Drake Ave & Fullerton Ave,Subscriber,Male,1984
9080301,3/31/2016 21:26,3/31/2016 21:33,4460,418,67,Sheffield Ave & Fullerton Ave,324,Stockton Dr & Wrightwood Ave,Subscriber,Male,1974
9080155,3/31/2016 20:56,3/31/2016 21:13,2172,1022,23,Orleans St & Elm St (*),75,Canal St & Jackson Blvd,Subscriber,Male,1975
9080133,3/31/2016 20:53,3/31/2016 20:59,1664,367,239,Western Ave & Leland Ave,472,Lincoln Ave & Winona St,Subscriber,Male,1983
9080088,3/31/2016 20:42,3/31/2016 20:48,310,379,77,Clinton St & Madison St,56,Desplaines St & Kinzie St,Subscriber,Male,1986
9080029,3/31/2016 20:28,3/31/2016 20:39,4329,678,100,Orleans St & Merchandise Mart Plaza,5,State St & Harrison St,Subscriber,Male,1980
9079849,3/31/2016 20:00,3/31/2016 20:09,3422,498,174,Canal St & Madison St,31,Franklin St & Chicago Ave,Subscriber,Male,1985
9079641,3/31/2016 19:31,3/31/2016 19:39,3663,497,327,Sheffield Ave & Webster Ave,141,Clark St & Lincoln Ave,Subscriber,Female,1993
9079619,3/31/2016 19:28,3/31/2016 20:04,1262,2162,212,Orleans St & Ohio St,298,Lincoln Ave & Belle Plaine Ave,Subscriber,Male,1983
9079606,3/31/2016 19:27,3/31/2016 19:33,2008,350,118,Sedgwick St & North Ave,143,Sedgwick St & Webster Ave,Subscriber,Male,1987
9079578,3/31/2016 19:24,3/31/2016 19:29,3382,321,67,Sheffield Ave & Fullerton Ave,166,Ashland Ave & Wrightwood Ave,Subscriber,Male,1991
9079427,3/31/2016 19:08,3/31/2016 19:14,1887,385,349,Halsted St & Wrightwood Ave,144,Larrabee St & Webster Ave,Subscriber,Male,1967
9079426,3/31/2016 19:08,3/31/2016 19:20,2007,728,107,Desplaines St & Jackson Blvd,320,Loomis St & Lexington St,Subscriber,Male,1973
9079416,3/31/2016 19:07,3/31/2016 19:09,703,152,333,Ashland Ave & Blackhawk St,61,Wood St & Milwaukee Ave,Subscriber,Male,1991
